Hannover, Misburg Mühlenweg (403266);Mühlenweg, 30629 Hannover (OT Misburg) 
Hannover, Otfried-Preußler-Schule(403284);Birkenstraße 12, 30171 Hannover (OT Südstadt) 
Hannover, Sporthalle Vinnhorst (403277);Grashöfe 25, 30419 Hannover (OT Vinnhorst) 
Hannover, Swiss-Life-Hall (403250);Ferdinand Wilhelm Fricke Weg 10, 30169 Hannover 
Hannover, SZ Ahlem (403254);Petit-Couronne-Straße 30, 30453 Hannover (OT Ahlem) 
Hannover, SZ Anderten (403256);Eisteichweg 6-8, 30559 Hannover (OT Anderten) 
Hannover, SZ Badenstedt (403257);Salzweg 30, 30455 Hannover (OT Badenstedt) 
Hannover, SZ Bemerode (403258);Wilhelm-Göhrs-Straße 4 (Friedrich-Wulfert-Platz), 30539 Hannover (OT Bemerode) 
Hannover, SZ Döhren (403260);Suthwiesenstraße, 30519 Hannover (OT Döhren) 
Hannover, SZ Misburg Halle I (403267);Ludwig-Jahn-Straße 6c, 30629 Hannover (OT Misburg) 
Hannover, SZ Misburg Halle II (403268);Ludwig-Jahn-Straße 3, 30629 Hannover (OT Misburg) 
Hannover, SZ Sahlkamp (403252);Sahlkamp/Ecke Hebbelstr., 30179 Hannover 
Hannover, TUI Arena (403253);Expo Plaza 7, 30539 Hannover 
Hemmingen, GS Arnum (403291);Klapperweg 18, 30966 Hemmingen 
Hemmingen, KGS (403290);Hohe Bünte 4, 30966 Hemmingen 
Hemmingen, KGS 2 (403293);Hohe Bünte 4, 30966 Hemmingen 
Hemmingen, SV Arnum (403292);Hundepfuhlsweg, 30966 Hemmingen 
Isernhagen, SZ Altwarmbüchen (403300);Helleweg, 30916 Isernhagen (OT Altwarmbüchen) 
Isernhagen, SZ Neuwarmbüchen (403301);Am Heisterholze, 30916 Isernhagen (OT Neuwarmbüchen) 
Laatzen, Albert Einstein Schule II (403313);Wülferoder Straße, 30881 Laatzen (OT Mitte) 
Laatzen, Albert-Einstein-Schule I (403312);Wülferoder Straße, 30880 Laatzen (OT Mitte) 
Laatzen, Rethen (403314);Braunschweiger Straße, 30880 Laatzen (OT Rethen) 
Laatzen, SZ II (403311);Marktstraße, 30880 Laatzen (OT Mitte) 
Laatzen, SZ I (403310);Marktstraße, 30880 Laatzen (OT Mitte) 
Langenhagen, Leibnitzstr (403322);Leibnizstr. 50-52, 30853 Langenhagen 
Langenhagen, Robert-Koch-RS (403320);Rathenaustraße, 30853 Langenhagen (OT Brink) 
Langenhagen, SZ (403321);Konrad-Adenauer-Straße, 30853 Langenhagen (OT Brink) 
Lehrte, Aligse (403333);Peiner Heerstraße, 31275 Lehrte (OT Aligse) 
Lehrte, Friedrichstr. (403332);Friedrichstraße, 31275 Lehrte 
Lehrte, Immensen (403335);Am Fleith, 31275 Lehrte (OT Immensen) 
Lehrte, Schlesische Str. (403331);Schlesische Straße, 31275 Lehrte 
Lehrte, SZ Hämelerwald (403334);Riedweg 2, 31275 Lehrte (OT Hämelerwald) 
Marklohe, SH Schulzentrum (406126);Steimbker Berg, 31608 Marklohe 
Neustadt, BBS (403363);Bunsenstr., 31535 Neustadt 
Neustadt, GS (403360);Stockhausenstr, 31535 Neustadt 
Neustadt GS Mandelsloh (403365);Pastor-Simon-Weg 40, 31535 Neustadt 
Neustadt, SH Mariensee (403361);An der Beeke, 31535 Neustadt 
Neustadt, SZ Nord (403362);Leinstr. 1, 31535 Neustadt 
Neustadt, SZ Süd (403364);Bunsenstr., 31535 Neustadt 
Nienburg, SH der BBS des Landkreises (406111);Ziegelkampstraße 49, 31582 Nienburg 
Nienburg, SH Meerbachhalle (406110);Berliner Ring 2, 31582 Nienburg 
Nienburg-Erichshagen, SH (406104);Waldstraße, 31582 Nienburg (OT Erichshagen) 
Pattensen, SZ (403370);Platz-St.-Aubin, 30982 Pattensen 
Seelze, Am Hallenbad (403376);Humboldtstraße 14, 30926 Seelze 
Seelze, Letter, Am Leinestadion (403377);Hirtenweg 20, 30926 Seelze (OT Letter) 
Seelze, Letter Brüder-Grimm-Schule(403378);Im Sande 17, 30926 Seelze (OT Letter) 
Sehnde, Feldstr. (403381);Feldstraße, 31319 Sehnde 
Sehnde, Feldstraße (alt) (403382);Feldstraße, 31319 Sehnde 
Sehnde, Waldstr (403380);Waldstraße 11, 31319 Sehnde 
Springe, Bennigsen (403389);Medefelder Straße 9, 31832 Springe (OT Bennigsen) 
Springe, Eldagsen (403390);Hindenburgallee 2, 31832 Springe (OT Eldagsen) 
Springe, SZ Nord (403386);Adolf-Reichwein-Straße, 31832 Springe 
Springe, SZ Süd I (403387);Harmsmühlenstraße, 31832 Springe 
Springe, SZ Süd II (403388);Harmsmühlenstraße, 31832 Springe 
Uetze, Hänigsen (403396);Moorgartenweg, 31311 Uetze (OT Hänigsen) 
Uetze, SZ (403395);Marktstraße, 31311 Uetze 
Wedemark, GY Mellendorf (403352);Am langen Felde, 30900 Wedemark 
Wedemark, MTV-Halle Mellendorf (403416);Industriestraße 37, 30900 Wedemark (OT Mellendorf) 
Wedemark, RS Mellendorf (403351);Am Langen Felde, 30901 Wedemark (OT Mellendorf) 
Wedemark, SZ Mellendorf (403350);Am Royeplatz, 30900 Wedemark (OT Mellendorf) 
Wennigsen, Bredenbeck (403401);Schulstraße, 30974 Wennigsen (OT Bredenbeck) 
Wennigsen KGS Sophie-Scholl Schule(403400);Bürgermeister-Klages-Platz 16, 30974 Wennigsen 
;
